MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982997,37.7924693,0.0940000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3499.5680000,-1.2347045,-75.2431335,-0.0943616
MsgID.LOCAL_VELOCITY,3499.5680000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982976,37.7924681,0.1320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3499.8180000,-1.3644189,-75.0493011,-0.1328361
MsgID.LOCAL_VELOCITY,3499.8180000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982970,37.7924688,0.1730000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3500.0680000,-1.2964809,-75.0032425,-0.1737684
MsgID.LOCAL_VELOCITY,3500.0680000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982987,37.7924704,0.2020000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3500.3190000,-1.1138363,-75.1475906,-0.2029759
MsgID.LOCAL_VELOCITY,3500.3190000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982996,37.7924684,0.2250000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3500.5690000,-1.3353485,-75.2318420,-0.2257300
MsgID.LOCAL_VELOCITY,3500.5690000,-0.0000395,0.0000536,0.0000189
MsgID.GLOBAL_POSITION,0.0000000,-122.3982982,37.7924684,0.2340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3500.8190000,-1.3405334,-75.1014633,-0.2345437
MsgID.LOCAL_VELOCITY,3500.8190000,-0.0000714,0.0000501,0.0000155
MsgID.GLOBAL_POSITION,0.0000000,-122.3982989,37.7924697,0.2300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3501.0690000,-1.1894159,-75.1659241,-0.2306704
MsgID.LOCAL_VELOCITY,3501.0690000,-0.0000333,0.0000573,0.0000123
MsgID.GLOBAL_POSITION,0.0000000,-122.3982986,37.7924697,0.2150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3501.3190000,-1.1910765,-75.1391144,-0.2159558
MsgID.LOCAL_VELOCITY,3501.3190000,-0.0000130,0.0000638,0.0000153
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982983,37.7924695,0.1890000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3501.5690000,-1.2094193,-75.1176910,-0.1894534
MsgID.LOCAL_VELOCITY,3501.5690000,-0.0000639,0.0000536,0.0000175
MsgID.GLOBAL_POSITION,0.0000000,-122.3982983,37.7924705,0.1620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3501.8190000,-1.1074966,-75.1177216,-0.1620134
MsgID.LOCAL_VELOCITY,3501.8190000,-0.0000426,0.0000530,0.0000187
MsgID.GLOBAL_POSITION,0.0000000,-122.3982983,37.7924692,0.1310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3502.0690000,-1.2456185,-75.1177216,-0.1313294
MsgID.LOCAL_VELOCITY,3502.0690000,-0.0000316,0.0000582,0.0000180
MsgID.GLOBAL_POSITION,0.0000000,-122.3982983,37.7924701,0.1090000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3502.3190000,-1.1433076,-75.1177063,-0.1089674
MsgID.LOCAL_VELOCITY,3502.3190000,-0.0000374,0.0000542,0.0000144
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3982983,37.7924695,0.0920000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,3502.5700000,-1.2160822,-75.1175156,-0.0921152
